trial_ID,block_trial_ID,block,block_type,correct_answer,cue,response_modality,trial_type,phase_0,phase_1,phase_2,phase_3,phase_4,phase_5,phase_6,phase_7,trial_duration,trial_start_time,cue_onset_time,stimulus_onset_time,trial_start_time_block,cue_onset_time_block,stimulus_onset_time_block
77,57,1,cognitive_eye,1,ACC,eye,3,0,0.5,4.8,0.5,1.5,0,0.35,0.35,8.0,680.0,680.5,685.8,520.0,520.5,525.8
78,58,1,cognitive_eye,1,SPD,eye,1,0,0.0,4.8,0.5,1.5,0,0.35,0.85,8.0,688.0,688.0,693.3,528.0,528.0,533.3
79,59,1,cognitive_eye,1,ACC,eye,3,0,1.0,4.8,1.5,1.5,0,0.35,0.85,10.0,696.0,697.0,703.3,536.0,537.0,543.3
80,60,1,cognitive_eye,1,SPD,eye,1,0,1.0,4.8,0.0,1.5,0,0.35,0.35,8.0,706.0,707.0,711.8,546.0,547.0,551.8
81,61,1,cognitive_eye,0,ACC,eye,2,0,0.5,4.8,0.5,1.5,0,0.35,0.35,8.0,714.0,714.5,719.8,554.0,554.5,559.8
82,62,1,cognitive_eye,0,SPD,eye,0,0,1.0,4.8,1.5,1.5,0,0.35,0.85,10.0,722.0,723.0,729.3,562.0,563.0,569.3
83,63,1,cognitive_eye,1,SPD,eye,1,0,1.5,4.8,0.5,1.5,0,0.35,1.35,10.0,732.0,733.5,738.8,572.0,573.5,578.8
84,64,1,cognitive_eye,0,ACC,eye,2,0,1.5,4.8,0.5,1.5,0,0.35,1.35,10.0,742.0,743.5,748.8,582.0,583.5,588.8
85,65,1,cognitive_eye,1,SPD,eye,1,0,0.0,4.8,0.5,1.5,0,0.35,0.85,8.0,752.0,752.0,757.3,592.0,592.0,597.3
86,66,1,cognitive_eye,0,ACC,eye,2,0,0.0,4.8,0.0,1.5,0,0.35,1.35,8.0,760.0,760.0,764.8,600.0,600.0,604.8
87,67,1,cognitive_eye,0,ACC,eye,2,0,1.5,4.8,1.0,1.5,0,0.35,0.85,10.0,768.0,769.5,775.3,608.0,609.5,615.3
